,Date,Open,High,Low,Close,Adj Close,Volume,Stock
0,2018-11-21,12.49,13.37,12.3,12.75,12.392522,8752527,COL
1,2018-11-22,12.85,12.91,12.21,12.75,12.392522,5673815,COL
2,2018-11-23,12.75,12.85,12.62,12.84,12.479999,5474121,COL
3,2018-11-26,12.84,13.3,12.72,13.11,12.742429,5085525,COL
4,2018-11-27,13.05,13.13,12.75,12.89,12.528598,6747945,COL
5,2018-11-28,12.12,12.74,12.06,12.7,12.343925,10082053,COL
6,2018-11-29,12.56,12.66,12.25,12.39,12.042616,8038728,COL
7,2018-11-30,12.02,12.17,11.71,11.71,11.381681,15507962,COL
8,2018-12-03,11.53,11.64,11.26,11.62,11.294205,7041600,COL
9,2018-12-04,11.4,11.59,11.4,11.49,11.16785,10601215,COL
10,2018-12-05,11.35,12.08,11.34,11.82,11.488597,8646218,COL
11,2018-12-06,11.55,12.13,11.55,12.1,11.760747,4583350,COL
12,2018-12-07,12.05,12.78,12.03,12.6,12.246729,9192109,COL
13,2018-12-10,12.46,12.585,12.33,12.49,12.139812,5910984,COL
14,2018-12-11,12.27,12.415,12.1,12.41,12.062055,5395786,COL
15,2018-12-12,12.37,12.45,12.1,12.23,11.887101,7801056,COL
16,2018-12-13,12.22,12.3,11.99,12.1,11.760747,3975657,COL
17,2018-12-14,11.81,11.89,11.71,11.72,11.391401,5113674,COL
18,2018-12-17,11.65,12.09,11.61,11.93,11.595513,4120952,COL
19,2018-12-18,11.78,12.035,11.71,11.72,11.391401,3725823,COL
20,2018-12-19,11.61,11.835,11.56,11.82,11.488597,4364977,COL
21,2018-12-20,12.0,12.28,11.85,12.05,11.712149,6923134,COL
22,2018-12-21,12.0,12.125,11.46,11.61,11.284485,6351418,COL
23,2018-12-24,11.49,11.7,11.34,11.7,11.371962,1445445,COL
24,2018-12-27,11.8,11.84,11.65,11.77,11.44,2216127,COL
25,2018-12-28,11.7,12.0,11.7,12.0,11.66355,1605489,COL
26,2018-12-31,12.0,12.04,11.74,11.74,11.41084,1333311,COL
27,2019-01-02,11.75,11.88,11.71,11.71,11.381681,1098216,COL
28,2019-01-03,11.71,12.0,11.71,11.99,11.653831,1599882,COL
29,2019-01-04,11.81,11.88,11.71,11.81,11.478878,2127786,COL
30,2019-01-07,11.91,11.98,11.65,11.71,11.381681,2266452,COL
31,2019-01-08,11.6,11.77,11.46,11.72,11.391401,3262339,COL
32,2019-01-09,11.76,11.85,11.67,11.85,11.517756,3009235,COL
33,2019-01-10,11.92,11.95,11.57,11.66,11.333083,4299196,COL
34,2019-01-11,11.6,11.68,11.5,11.53,11.206728,3018688,COL
35,2019-01-14,11.53,11.89,11.5,11.89,11.556635,2914418,COL
36,2019-01-15,11.78,11.83,11.6,11.76,11.43028,3237995,COL
37,2019-01-16,11.75,11.99,11.7,11.88,11.546915,2658982,COL
38,2019-01-17,11.83,12.1,11.79,12.08,11.741307,3841166,COL
39,2019-01-18,12.05,12.36,12.05,12.32,11.974578,3555168,COL
40,2019-01-21,12.48,12.695,12.45,12.66,12.305046,3098029,COL
41,2019-01-22,12.6,12.79,12.51,12.74,12.382802,2082084,COL
42,2019-01-23,12.73,12.74,12.51,12.59,12.237009,4244315,COL
43,2019-01-24,12.5,12.53,12.29,12.45,12.100933,3918229,COL
44,2019-01-25,12.41,12.81,12.37,12.75,12.392522,2524424,COL
45,2019-01-29,12.63,12.65,12.51,12.59,12.237009,4137948,COL
46,2019-01-30,12.55,12.76,12.51,12.75,12.392522,7627636,COL
47,2019-01-31,12.66,12.705,12.49,12.51,12.159251,3365225,COL
48,2019-02-01,12.51,12.69,12.5,12.6,12.246729,2403879,COL
49,2019-02-04,12.6,12.7,12.48,12.59,12.237009,1599385,COL
50,2019-02-05,12.6,12.765,12.54,12.73,12.373082,2674544,COL
51,2019-02-06,12.48,12.6,12.37,12.41,12.062055,5988786,COL
52,2019-02-07,12.38,12.38,12.085,12.27,11.925981,4491267,COL
53,2019-02-08,12.2,12.39,12.1,12.39,12.042616,2600859,COL
54,2019-02-11,12.38,12.45,12.28,12.41,12.062055,1584247,COL
55,2019-02-12,12.25,12.335,12.2,12.26,11.916262,3474739,COL
56,2019-02-13,12.3,12.35,12.1,12.26,11.916262,4323911,COL
57,2019-02-14,12.31,12.6,12.29,12.5,12.149531,2321669,COL
58,2019-02-15,12.45,12.6,12.39,12.6,12.246729,2229398,COL
59,2019-02-18,12.6,12.65,12.5,12.59,12.237009,1600572,COL
60,2019-02-19,12.13,12.44,12.08,12.08,11.741307,10815318,COL
61,2019-02-20,11.87,11.87,11.32,11.37,11.051214,8992605,COL
62,2019-02-21,11.27,11.34,11.12,11.34,11.022056,8248226,COL
63,2019-02-22,11.23,11.54,11.205,11.53,11.206728,6101503,COL
64,2019-02-25,11.5,11.53,11.33,11.46,11.13869,5619601,COL
65,2019-02-26,11.36,11.57,11.36,11.55,11.226168,3853484,COL
66,2019-02-27,11.45,11.55,11.415,11.53,11.206728,3207987,COL
67,2019-02-28,11.45,11.46,11.31,11.33,11.012336,7435078,COL
68,2019-03-01,11.38,11.425,11.32,11.39,11.070654,2584597,COL
69,2019-03-04,11.4,11.435,11.355,11.4,11.080373,1916073,COL
70,2019-03-05,11.25,11.43,11.22,11.38,11.060934,3178866,COL
71,2019-03-06,11.32,11.395,11.29,11.38,11.060934,8521062,COL
72,2019-03-07,11.38,11.695,11.37,11.55,11.226168,7761328,COL
73,2019-03-08,11.44,11.54,11.37,11.42,11.099813,4363770,COL
74,2019-03-11,11.42,11.42,11.25,11.28,10.963737,2583331,COL
75,2019-03-12,11.35,11.415,11.155,11.23,10.915138,2916652,COL
76,2019-03-13,11.19,11.44,11.13,11.38,11.060934,3801270,COL
77,2019-03-14,11.32,11.37,11.18,11.25,10.934579,4230194,COL
78,2019-03-15,11.25,11.45,11.24,11.45,11.128971,7617288,COL
79,2019-03-18,11.45,11.52,11.34,11.45,11.128971,2127449,COL
80,2019-03-19,11.38,11.44,11.33,11.38,11.060934,5321735,COL
81,2019-03-20,11.43,11.71,11.4,11.66,11.333083,3820282,COL
82,2019-03-21,11.53,11.6,11.45,11.58,11.255325,4837646,COL
83,2019-03-22,11.58,11.7,11.55,11.68,11.352523,2867253,COL
84,2019-03-25,11.65,11.715,11.6,11.7,11.371962,1722992,COL
85,2019-03-26,11.72,12.07,11.72,11.96,11.624672,6444969,COL
86,2019-03-27,11.88,11.91,11.7,11.89,11.556635,2588527,COL
87,2019-03-28,11.85,11.87,11.57,11.83,11.498317,4566526,COL
88,2019-03-29,11.8,11.87,11.76,11.85,11.517756,4389880,COL
89,2019-04-01,11.86,12.05,11.86,12.02,11.68299,3030221,COL
90,2019-04-02,11.99,12.1,11.91,12.08,11.741307,2095249,COL
91,2019-04-03,12.1,12.24,12.06,12.2,11.857944,2875527,COL
92,2019-04-04,12.15,12.19,12.1,12.18,11.838504,1864190,COL
93,2019-04-05,12.1,12.18,12.02,12.12,11.780186,2115434,COL
94,2019-04-08,12.18,12.24,12.13,12.21,11.867662,1868419,COL
95,2019-04-09,12.18,12.27,12.17,12.24,11.896821,1924658,COL
96,2019-04-10,12.23,12.3,12.165,12.21,11.867662,1641165,COL
97,2019-04-11,12.19,12.25,12.085,12.1,11.760747,1511750,COL
98,2019-04-12,12.15,12.29,12.06,12.29,11.945419,2069196,COL
99,2019-04-15,12.28,12.44,12.245,12.42,12.071775,1982221,COL
100,2019-04-16,12.33,12.54,12.33,12.51,12.159251,1945182,COL
101,2019-04-17,12.45,12.5,12.32,12.4,12.052335,2134528,COL
102,2019-04-18,12.48,12.52,12.355,12.45,12.100933,1515390,COL
103,2019-04-23,12.45,12.52,12.37,12.45,12.100933,2069110,COL
104,2019-04-24,12.49,12.6,12.45,12.54,12.188411,3286450,COL
105,2019-04-26,12.56,12.65,12.52,12.6,12.246729,2044796,COL
106,2019-04-29,12.61,12.7,12.555,12.64,12.285607,2114239,COL
107,2019-04-30,12.65,12.7,12.57,12.61,12.256447,2077306,COL
108,2019-05-01,12.67,12.68,12.45,12.65,12.295326,1481499,COL
109,2019-05-02,12.6,12.7,12.51,12.6,12.246729,2232078,COL
110,2019-05-03,12.61,12.69,12.54,12.66,12.305046,1361911,COL
